country_code,country_name,event_name,event_category,event_subcategory,event_anchor_date,window_days,indicator_group,indicator_slug,indicator_name,indicator_frequency,before_mean,after_mean,absolute_change,percentage_change,historical_std,standardized_change,abs_standardized_change,nearby_event_count,contamination_level,nearby_event_names,is_contaminated_window
USA,United States,CARES Act,economy,fiscal_social,2020-03-27,180,unemployment,unemployment,Unemployment Rate,monthly,3.7166666666666655,10.9,7.183333333333334,193.2735426008969,1.7030513340652462,4.217919442384894,4.217919442384894,3.0,alta,Pandemia Covid; Fed leva juros a zero e relanca QE; Corte emergencial de juros do Fed,True
USA,United States,Pandemia Covid,external_shock,health_crisis,2020-03-16,180,unemployment,unemployment,Unemployment Rate,monthly,3.7166666666666655,10.9,7.183333333333334,193.2735426008969,1.7030513340652462,4.217919442384894,4.217919442384894,3.0,alta,Fed leva juros a zero e relanca QE; CARES Act; Corte emergencial de juros do Fed,True
BRA,Brazil,Teto do ICMS dos combustiveis,economy,energy_fiscal,2022-06-23,30,inflation,ipca,IPCA,monthly,0.67,-0.68,-1.35,-201.4925373134328,0.3868709075835759,-3.4895361050335865,3.4895361050335865,1.0,moderada,PEC dos beneficios eleitorais,True
BRA,Brazil,Teto do ICMS dos combustiveis,economy,energy_fiscal,2022-06-23,90,inflation,ipca,IPCA,monthly,0.7333333333333334,-0.4433333333333333,-1.1766666666666667,-160.45454545454544,0.3868709075835759,-3.041496901424336,3.041496901424336,1.0,moderada,PEC dos beneficios eleitorais,True
USA,United States,Corte emergencial de juros do Fed,economy,monetary_policy,2020-03-03,365,unemployment,unemployment,Unemployment Rate,monthly,3.6666666666666665,8.700000000000001,5.033333333333335,137.27272727272734,1.7030513340652462,2.955479516473871,2.955479516473871,,,,
USA,United States,Fed leva juros a zero e relanca QE,economy,monetary_policy,2020-03-15,365,unemployment,unemployment,Unemployment Rate,monthly,3.6666666666666665,8.700000000000001,5.033333333333335,137.27272727272734,1.7030513340652462,2.955479516473871,2.955479516473871,,,,
USA,United States,Pandemia Covid,external_shock,health_crisis,2020-03-16,365,unemployment,unemployment,Unemployment Rate,monthly,3.6666666666666665,8.700000000000001,5.033333333333335,137.27272727272734,1.7030513340652462,2.955479516473871,2.955479516473871,,,,
USA,United States,CARES Act,economy,fiscal_social,2020-03-27,365,unemployment,unemployment,Unemployment Rate,monthly,3.6666666666666665,8.700000000000001,5.033333333333335,137.27272727272734,1.7030513340652462,2.955479516473871,2.955479516473871,,,,
USA,United States,American Rescue Plan,economy,fiscal_social,2021-03-11,365,unemployment,unemployment,Unemployment Rate,monthly,8.700000000000001,4.758333333333333,-3.941666666666668,-45.306513409961696,1.7030513340652462,-2.314473197503545,2.314473197503545,,,,
BRA,Brazil,Inicio da greve dos caminhoneiros,economy,energy_inflation,2018-05-21,30,inflation,ipca,IPCA,monthly,0.4,1.26,0.86,215.0,0.3868709075835759,2.222963740984359,2.222963740984359,1.0,moderada,Subvencao ao diesel apos greve,True
