event_id,country_code,country_name,event_name,event_anchor_date,event_date_precision,window_days,nearby_event_count,contamination_level,nearby_event_ids,nearby_event_names,nearby_event_distance_days,is_contaminated_window
ARG_2024_04_30,ARG,Argentina,Aprovacao inicial da Lei Bases na Camara,2024-04-30,day,90,1,moderada,ARG_2024_06_12,Aprovacao da Lei Bases no Senado,43,True
ARG_2024_04_30,ARG,Argentina,Aprovacao inicial da Lei Bases na Camara,2024-04-30,day,180,6,alta,ARG_2024_06_12; ARG_2024_01_24; ARG_2023_12_20; ARG_2023_12; ARG_2023_12_12; ARG_2023_11_19,Aprovacao da Lei Bases no Senado; Greve geral contra reformas; DNU de desregulacao de Milei; Desvalorizacao inicial do peso; Pacote Caputo e forte desvalorizacao; Eleicao Milei,43; -97; -132; -136; -140; -163,True
ARG_2024_06_12,ARG,Argentina,Aprovacao da Lei Bases no Senado,2024-06-12,day,30,0,baixa,,,,False
ARG_2024_06_12,ARG,Argentina,Aprovacao da Lei Bases no Senado,2024-06-12,day,90,1,moderada,ARG_2024_04_30,Aprovacao inicial da Lei Bases na Camara,-43,True
ARG_2024_06_12,ARG,Argentina,Aprovacao da Lei Bases no Senado,2024-06-12,day,180,4,alta,ARG_2024_04_30; ARG_2024_01_24; ARG_2023_12_20; ARG_2023_12,Aprovacao inicial da Lei Bases na Camara; Greve geral contra reformas; DNU de desregulacao de Milei; Desvalorizacao inicial do peso,-43; -140; -175; -179,True
BRA_2016_08_31,BRA,Brazil,Impeachment Dilma,2016-08-31,day,30,0,baixa,,,,False
BRA_2016_08_31,BRA,Brazil,Impeachment Dilma,2016-08-31,day,90,1,moderada,BRA_2016_10_19,Inicio do ciclo de corte da Selic,49,True
BRA_2016_08_31,BRA,Brazil,Impeachment Dilma,2016-08-31,day,180,2,moderada,BRA_2016_10_19; BRA_2016_12_15,Inicio do ciclo de corte da Selic; Teto de gastos,49; 106,True
BRA_2016_10_19,BRA,Brazil,Inicio do ciclo de corte da Selic,2016-10-19,day,30,0,baixa,,,,False
BRA_2016_10_19,BRA,Brazil,Inicio do ciclo de corte da Selic,2016-10-19,day,90,2,moderada,BRA_2016_08_31; BRA_2016_12_15,Impeachment Dilma; Teto de gastos,-49; 57,True
BRA_2016_10_19,BRA,Brazil,Inicio do ciclo de corte da Selic,2016-10-19,day,180,2,moderada,BRA_2016_08_31; BRA_2016_12_15,Impeachment Dilma; Teto de gastos,-49; 57,True
BRA_2016_12_15,BRA,Brazil,Teto de gastos,2016-12-15,day,30,0,baixa,,,,False
BRA_2016_12_15,BRA,Brazil,Teto de gastos,2016-12-15,day,90,1,moderada,BRA_2016_10_19,Inicio do ciclo de corte da Selic,-57,True
BRA_2016_12_15,BRA,Brazil,Teto de gastos,2016-12-15,day,180,3,alta,BRA_2016_10_19; BRA_2016_08_31; BRA_2017_05_17,Inicio do ciclo de corte da Selic; Impeachment Dilma; Crise Joesley Day,-57; -106; 153,True
BRA_2017_05_17,BRA,Brazil,Crise Joesley Day,2017-05-17,day,30,0,baixa,,,,False
BRA_2017_05_17,BRA,Brazil,Crise Joesley Day,2017-05-17,day,90,1,moderada,BRA_2017_07_13,Reforma trabalhista,57,True
BRA_2017_05_17,BRA,Brazil,Crise Joesley Day,2017-05-17,day,180,2,moderada,BRA_2017_07_13; BRA_2016_12_15,Reforma trabalhista; Teto de gastos,57; -153,True
BRA_2017_07_13,BRA,Brazil,Reforma trabalhista,2017-07-13,day,30,0,baixa,,,,False
BRA_2017_07_13,BRA,Brazil,Reforma trabalhista,2017-07-13,day,90,1,moderada,BRA_2017_05_17,Crise Joesley Day,-57,True
BRA_2017_07_13,BRA,Brazil,Reforma trabalhista,2017-07-13,day,180,1,moderada,BRA_2017_05_17,Crise Joesley Day,-57,True
BRA_2018_04_07,BRA,Brazil,Prisao de Lula,2018-04-07,day,30,0,baixa,,,,False
BRA_2018_04_07,BRA,Brazil,Prisao de Lula,2018-04-07,day,90,2,moderada,BRA_2018_05_21; BRA_2018_05_27,Inicio da greve dos caminhoneiros; Subvencao ao diesel apos greve,44; 50,True
BRA_2018_04_07,BRA,Brazil,Prisao de Lula,2018-04-07,day,180,3,alta,BRA_2018_05_21; BRA_2018_05_27; BRA_2018_09_06,Inicio da greve dos caminhoneiros; Subvencao ao diesel apos greve; Facada em Bolsonaro,44; 50; 152,True
BRA_2018_05_21,BRA,Brazil,Inicio da greve dos caminhoneiros,2018-05-21,day,30,1,moderada,BRA_2018_05_27,Subvencao ao diesel apos greve,6,True
BRA_2018_05_21,BRA,Brazil,Inicio da greve dos caminhoneiros,2018-05-21,day,90,2,moderada,BRA_2018_05_27; BRA_2018_04_07,Subvencao ao diesel apos greve; Prisao de Lula,6; -44,True
BRA_2018_05_21,BRA,Brazil,Inicio da greve dos caminhoneiros,2018-05-21,day,180,4,alta,BRA_2018_05_27; BRA_2018_04_07; BRA_2018_09_06; BRA_2018_10_28,Subvencao ao diesel apos greve; Prisao de Lula; Facada em Bolsonaro; Eleicao Bolsonaro,6; -44; 108; 160,True
BRA_2018_05_27,BRA,Brazil,Subvencao ao diesel apos greve,2018-05-27,day,30,1,moderada,BRA_2018_05_21,Inicio da greve dos caminhoneiros,-6,True
BRA_2018_05_27,BRA,Brazil,Subvencao ao diesel apos greve,2018-05-27,day,90,2,moderada,BRA_2018_05_21; BRA_2018_04_07,Inicio da greve dos caminhoneiros; Prisao de Lula,-6; -50,True
BRA_2018_05_27,BRA,Brazil,Subvencao ao diesel apos greve,2018-05-27,day,180,4,alta,BRA_2018_05_21; BRA_2018_04_07; BRA_2018_09_06; BRA_2018_10_28,Inicio da greve dos caminhoneiros; Prisao de Lula; Facada em Bolsonaro; Eleicao Bolsonaro,-6; -50; 102; 154,True
BRA_2018_09_06,BRA,Brazil,Facada em Bolsonaro,2018-09-06,day,30,0,baixa,,,,False
BRA_2018_09_06,BRA,Brazil,Facada em Bolsonaro,2018-09-06,day,90,1,moderada,BRA_2018_10_28,Eleicao Bolsonaro,52,True
BRA_2018_09_06,BRA,Brazil,Facada em Bolsonaro,2018-09-06,day,180,4,alta,BRA_2018_10_28; BRA_2018_05_27; BRA_2018_05_21; BRA_2018_04_07,Eleicao Bolsonaro; Subvencao ao diesel apos greve; Inicio da greve dos caminhoneiros; Prisao de Lula,52; -102; -108; -152,True
BRA_2018_10_28,BRA,Brazil,Eleicao Bolsonaro,2018-10-28,day,30,0,baixa,,,,False
