country_code,country_name,date,series_slug,series_code,series_name,value,source
ARG,Argentina,2016-06-23,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-06-24,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-06-25,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-06-26,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-06-27,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-06-28,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-06-29,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-06-30,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-01,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-02,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-03,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-04,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-05,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-06,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-07,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-08,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-07-09,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
