event_id,country_code,country_name,event_name,event_category,event_subcategory,event_start_date,event_end_date,event_year,event_date_precision,indicator_group,indicator_slug,indicator_name,indicator_unit,indicator_source,previous_year,event_year_value,next_year,previous_year_value,next_year_value,change_from_previous_year,change_to_next_year,previous_year_z_score,event_year_z_score,next_year_z_score,z_change_from_previous_year,z_change_to_next_year
ARG_2023_08,ARG,Argentina,Primarias com Milei forte,politics,election,2023-08-01,2023-08-31,2023,month,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2022,-1.85578803046339,2024,6.02074537534855,-1.34293072157739,-7.876533405811941,0.512857308886,1.106351755090421,-0.3273415089034296,-0.2339907883190005,-1.4336932639938507,0.09335072058442911
ARG_2023_08,ARG,Argentina,Primarias com Milei forte,politics,election,2023-08-01,2023-08-31,2023,month,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2022,14261.8465667948,2024,13962.1894087223,13969.7836603737,299.65715807249944,-292.0629064211007,0.8364424787669121,0.9843547057999564,0.8401910382261059,0.1479122270330443,-0.14416366757385057
ARG_2023_08,ARG,Argentina,Primarias com Milei forte,politics,election,2023-08-01,2023-08-31,2023,month,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2022,133.488935594175,2024,72.430757531824,219.883929014578,61.05817806235099,86.39499342040301,-0.2214136937902325,0.7538073978753127,2.133708051180835,0.9752210916655453,1.3799006533055223
ARG_2023_08,ARG,Argentina,Primarias com Milei forte,politics,election,2023-08-01,2023-08-31,2023,month,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2022,6.139,2024,6.805,7.15,-0.6659999999999995,1.0110000000000001,-0.9810497142840412,-1.4200305727314817,-0.7536497200432496,-0.4389808584474405,0.6663808526882321
ARG_2023_08_14,ARG,Argentina,Desvalorizacao pos-PASO,economy,exchange_rate_inflation,2023-08-14,2023-08-14,2023,day,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2022,-1.85578803046339,2024,6.02074537534855,-1.34293072157739,-7.876533405811941,0.512857308886,1.106351755090421,-0.3273415089034296,-0.2339907883190005,-1.4336932639938507,0.09335072058442911
ARG_2023_08_14,ARG,Argentina,Desvalorizacao pos-PASO,economy,exchange_rate_inflation,2023-08-14,2023-08-14,2023,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2022,14261.8465667948,2024,13962.1894087223,13969.7836603737,299.65715807249944,-292.0629064211007,0.8364424787669121,0.9843547057999564,0.8401910382261059,0.1479122270330443,-0.14416366757385057
ARG_2023_08_14,ARG,Argentina,Desvalorizacao pos-PASO,economy,exchange_rate_inflation,2023-08-14,2023-08-14,2023,day,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2022,133.488935594175,2024,72.430757531824,219.883929014578,61.05817806235099,86.39499342040301,-0.2214136937902325,0.7538073978753127,2.133708051180835,0.9752210916655453,1.3799006533055223
ARG_2023_08_14,ARG,Argentina,Desvalorizacao pos-PASO,economy,exchange_rate_inflation,2023-08-14,2023-08-14,2023,day,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2022,6.139,2024,6.805,7.15,-0.6659999999999995,1.0110000000000001,-0.9810497142840412,-1.4200305727314817,-0.7536497200432496,-0.4389808584474405,0.6663808526882321
ARG_2023_11_19,ARG,Argentina,Eleicao Milei,politics,election,2023-11-19,2023-11-19,2023,day,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2022,-1.85578803046339,2024,6.02074537534855,-1.34293072157739,-7.876533405811941,0.512857308886,1.106351755090421,-0.3273415089034296,-0.2339907883190005,-1.4336932639938507,0.09335072058442911
ARG_2023_11_19,ARG,Argentina,Eleicao Milei,politics,election,2023-11-19,2023-11-19,2023,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2022,14261.8465667948,2024,13962.1894087223,13969.7836603737,299.65715807249944,-292.0629064211007,0.8364424787669121,0.9843547057999564,0.8401910382261059,0.1479122270330443,-0.14416366757385057
